PSGC,PRVDIS_PSGC,REG_PSGC,SMC_NAME,PRVDIS_NAME,REG_NAME,CITY_CLASS,INCOME_CLASS,LONGITUDE,LATITUDE
103518000,103500000,100000000,SALVADOR,LANAO DEL NORTE,REGION X (NORTHERN MINDANAO),,5th,123.890373465,7.903831583
103519000,103500000,100000000,SAPAD,LANAO DEL NORTE,REGION X (NORTHERN MINDANAO),,5th,123.843665847,7.835051077
103520000,103500000,100000000,TAGOLOAN,LANAO DEL NORTE,REGION X (NORTHERN MINDANAO),,5th,124.315816426,8.159387082
103521000,103500000,100000000,TANGCAL,LANAO DEL NORTE,REGION X (NORTHERN MINDANAO),,5th,123.98085804,8.028525044
103522000,103500000,100000000,TUBOD (Capital),LANAO DEL NORTE,REGION X (NORTHERN MINDANAO),,2nd,123.89360066,7.980692654
103523000,103500000,100000000,PANTAR,LANAO DEL NORTE,REGION X (NORTHERN MINDANAO),,5th,124.289193196,8.08794856
104201000,104200000,100000000,ALORAN,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.759993595,8.393783962
104202000,104200000,100000000,BALIANGAO,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,5th,123.618734092,8.615414021
104203000,104200000,100000000,BONIFACIO,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.599097056,8.081371629
104204000,104200000,100000000,CALAMBA,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.640125979,8.521079838
104205000,104200000,100000000,CLARIN,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.770475004,8.210194589
104206000,104200000,100000000,CONCEPCION,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,6th*,123.596026169,8.410054029
104207000,104200000,100000000,JIMENEZ,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,3rd,123.765168134,8.331193959
104208000,104200000,100000000,LOPEZ JAENA,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.700410577,8.498110761
104209000,104200000,100000000,CITY OF OROQUIETA (Capital),MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),CC,4th,123.733155645,8.451079797
104210000,104200000,100000000,CITY OF OZAMIZ,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),CC,3rd,123.776569701,8.155978541
104211000,104200000,100000000,PANAON,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,5th,123.792265295,8.362327088
104212000,104200000,100000000,PLARIDEL,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,3rd,123.691632124,8.587761838
104213000,104200000,100000000,SAPANG DALAGA,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,5th*,123.588280516,8.513483094
104214000,104200000,100000000,SINACABAN,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,5th,123.756116156,8.294929498
104215000,104200000,100000000,CITY OF TANGUB,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),CC,4th,123.687453711,8.104606983
104216000,104200000,100000000,TUDELA,MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.751676791,8.249823663
104217000,104200000,100000000,DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS),MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),,4th,123.610098013,8.266271056
104301000,104300000,100000000,ALUBIJID,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.435874335,8.487612194
104302000,104300000,100000000,BALINGASAG,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,2nd,124.844517255,8.746069624
104303000,104300000,100000000,BALINGOAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,5th,124.878334313,8.936457259
104304000,104300000,100000000,BINUANGAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,6th,124.797763369,8.919354266
104305000,104300000,100000000,CITY OF CAGAYAN DE ORO (Capital),MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),HUC,1st,124.602001503,8.372777718
104306000,104300000,100000000,CLAVERIA,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,1st,124.991288731,8.668549719
104307000,104300000,100000000,CITY OF EL SALVADOR,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),CC,6th,124.499152751,8.513623527
104308000,104300000,100000000,CITY OF GINGOOG,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),CC,2nd,125.103450491,8.775925189
104309000,104300000,100000000,GITAGUM,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,5th,124.399666842,8.560305593
104310000,104300000,100000000,INITAO,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,3rd,124.343440239,8.482605836
104311000,104300000,100000000,JASAAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,2nd,124.775262379,8.654857804
104312000,104300000,100000000,KINOGUITAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,5th,124.826707673,8.954329874
104313000,104300000,100000000,LAGONGLONG,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,5th,124.828321908,8.807670445
104314000,104300000,100000000,LAGUINDINGAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.442496446,8.591835691
104315000,104300000,100000000,LIBERTAD,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,5th,124.370731181,8.53044348
104316000,104300000,100000000,LUGAIT,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,2nd,124.299149649,8.340549378
104317000,104300000,100000000,MAGSAYSAY (LINUGOS),MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,125.205597343,8.971074195
104318000,104300000,100000000,MANTICAO,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.357951262,8.365153739
104319000,104300000,100000000,MEDINA,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.972501755,8.887318485
104320000,104300000,100000000,NAAWAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.341731117,8.419079886
104321000,104300000,100000000,OPOL,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,2nd,124.499880944,8.426738736
104322000,104300000,100000000,SALAY,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.832926019,8.860559167
104323000,104300000,100000000,SUGBONGCOGON,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,5th,124.815912333,8.926603734
104324000,104300000,100000000,TAGOLOAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,1st,124.789746476,8.535344425
104325000,104300000,100000000,TALISAYAN,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,4th,124.908660618,8.959873326
104326000,104300000,100000000,VILLANUEVA,MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),,2nd,124.7938254,8.576291453
112301000,112300000,110000000,ASUNCION (SAUG),DAVAO DEL NORTE,REGION XI (DAVAO REGION),,1st,125.791116488,7.632606725
112303000,112300000,110000000,CARMEN,DAVAO DEL NORTE,REGION XI (DAVAO REGION),,1st,125.681475092,7.373121354
112305000,112300000,110000000,KAPALONG,DAVAO DEL NORTE,REGION XI (DAVAO REGION),,1st,125.573978289,7.836690836
112314000,112300000,110000000,NEW CORELLA,DAVAO DEL NORTE,REGION XI (DAVAO REGION),,2nd,125.852647335,7.602467171
112315000,112300000,110000000,CITY OF PANABO,DAVAO DEL NORTE,REGION XI (DAVAO REGION),CC,3rd,125.606073315,7.330375666
112317000,112300000,110000000,ISLAND GARDEN CITY OF SAMAL,DAVAO DEL NORTE,REGION XI (DAVAO REGION),CC,4th,125.740151081,7.063413191
112318000,112300000,110000000,SANTO TOMAS,DAVAO DEL NORTE,REGION XI (DAVAO REGION),,1st,125.632182061,7.511310377
112319000,112300000,110000000,CITY OF TAGUM (Capital),DAVAO DEL NORTE,REGION XI (DAVAO REGION),CC,1st,125.795793246,7.431253964
112322000,112300000,110000000,TALAINGOD,DAVAO DEL NORTE,REGION XI (DAVAO REGION),,2nd,125.499261984,7.6865312
